year,species,species_latin,how_many_counted,total_hours
2012,"Black-headed Tody-Flycatcher",Todirostrum nigriceps,NA,69.5
2013,"Black-headed Tody-Flycatcher",Todirostrum nigriceps,NA,45
2014,"Black-headed Tody-Flycatcher",Todirostrum nigriceps,NA,66.5
2015,"Black-headed Tody-Flycatcher",Todirostrum nigriceps,1,80.5
2016,"Black-headed Tody-Flycatcher",Todirostrum nigriceps,1,61.35
2017,"Black-headed Tody-Flycatcher",Todirostrum nigriceps,NA,87
2018,"Black-headed Tody-Flycatcher",Todirostrum nigriceps,NA,89.5
2019,"Black-headed Tody-Flycatcher",Todirostrum nigriceps,NA,62
2010,"Eye-ringed Flatbill",Rhynchocyclus brevirostris,NA,53
2011,"Eye-ringed Flatbill",Rhynchocyclus brevirostris,NA,52
2012,"Eye-ringed Flatbill",Rhynchocyclus brevirostris,NA,69.5
2013,"Eye-ringed Flatbill",Rhynchocyclus brevirostris,NA,45
2014,"Eye-ringed Flatbill",Rhynchocyclus brevirostris,NA,66.5
2015,"Eye-ringed Flatbill",Rhynchocyclus brevirostris,1,80.5
2016,"Eye-ringed Flatbill",Rhynchocyclus brevirostris,1,61.35
2017,"Eye-ringed Flatbill",Rhynchocyclus brevirostris,1,87
2018,"Eye-ringed Flatbill",Rhynchocyclus brevirostris,NA,89.5
2019,"Eye-ringed Flatbill",Rhynchocyclus brevirostris,NA,62
2010,"Yellow-olive Flycatcher",Tolmomyias sulphurescens,2,53
2011,"Yellow-olive Flycatcher",Tolmomyias sulphurescens,NA,52
2012,"Yellow-olive Flycatcher",Tolmomyias sulphurescens,1,69.5
2013,"Yellow-olive Flycatcher",Tolmomyias sulphurescens,1,45
2014,"Yellow-olive Flycatcher",Tolmomyias sulphurescens,1,66.5
2015,"Yellow-olive Flycatcher",Tolmomyias sulphurescens,1,80.5
2016,"Yellow-olive Flycatcher",Tolmomyias sulphurescens,NA,61.35
2017,"Yellow-olive Flycatcher",Tolmomyias sulphurescens,NA,87
2018,"Yellow-olive Flycatcher",Tolmomyias sulphurescens,2,89.5
2019,"Yellow-olive Flycatcher",Tolmomyias sulphurescens,1,62
2010,"Yellow-margined Flycatcher",Tolmomyias assimilis,NA,53
2011,"Yellow-margined Flycatcher",Tolmomyias assimilis,NA,52
2012,"Yellow-margined Flycatcher",Tolmomyias assimilis,NA,69.5
2013,"Yellow-margined Flycatcher",Tolmomyias assimilis,NA,45
2014,"Yellow-margined Flycatcher",Tolmomyias assimilis,1,66.5
2015,"Yellow-margined Flycatcher",Tolmomyias assimilis,NA,80.5
2016,"Yellow-margined Flycatcher",Tolmomyias assimilis,NA,61.35
2017,"Yellow-margined Flycatcher",Tolmomyias assimilis,NA,87
2018,"Yellow-margined Flycatcher",Tolmomyias assimilis,NA,89.5
2019,"Yellow-margined Flycatcher",Tolmomyias assimilis,NA,62
2010,"Stub-tailed Spadebill",Platyrinchus cancrominus,NA,53
2011,"Stub-tailed Spadebill",Platyrinchus cancrominus,NA,52
2012,"Stub-tailed Spadebill",Platyrinchus cancrominus,NA,69.5
2013,"Stub-tailed Spadebill",Platyrinchus cancrominus,NA,45
2014,"Stub-tailed Spadebill",Platyrinchus cancrominus,NA,66.5
2015,"Stub-tailed Spadebill",Platyrinchus cancrominus,1,80.5
2016,"Stub-tailed Spadebill",Platyrinchus cancrominus,NA,61.35
2017,"Stub-tailed Spadebill",Platyrinchus cancrominus,NA,87
2018,"Stub-tailed Spadebill",Platyrinchus cancrominus,NA,89.5
2019,"Stub-tailed Spadebill",Platyrinchus cancrominus,1,62
2010,"White-throated Spadebill",Platyrinchus mystaceus,NA,53
2011,"White-throated Spadebill",Platyrinchus mystaceus,NA,52
2012,"White-throated Spadebill",Platyrinchus mystaceus,1,69.5
2013,"White-throated Spadebill",Platyrinchus mystaceus,NA,45
2014,"White-throated Spadebill",Platyrinchus mystaceus,NA,66.5
2015,"White-throated Spadebill",Platyrinchus mystaceus,NA,80.5
2016,"White-throated Spadebill",Platyrinchus mystaceus,NA,61.35
2017,"White-throated Spadebill",Platyrinchus mystaceus,NA,87
2018,"White-throated Spadebill",Platyrinchus mystaceus,NA,89.5
2019,"White-throated Spadebill",Platyrinchus mystaceus,NA,62
2010,"Golden-crowned Spadebill",Platyrinchus coronatus,NA,53
2011,"Golden-crowned Spadebill",Platyrinchus coronatus,NA,52
2012,"Golden-crowned Spadebill",Platyrinchus coronatus,NA,69.5
2013,"Golden-crowned Spadebill",Platyrinchus coronatus,NA,45
2014,"Golden-crowned Spadebill",Platyrinchus coronatus,NA,66.5
2015,"Golden-crowned Spadebill",Platyrinchus coronatus,NA,80.5
2016,"Golden-crowned Spadebill",Platyrinchus coronatus,NA,61.35
2017,"Golden-crowned Spadebill",Platyrinchus coronatus,NA,87
2018,"Golden-crowned Spadebill",Platyrinchus coronatus,NA,89.5
2019,"Golden-crowned Spadebill",Platyrinchus coronatus,1,62
2010,"Royal Flycatcher",Onychorhynchus coronatus,NA,53
2011,"Royal Flycatcher",Onychorhynchus coronatus,NA,52
2012,"Royal Flycatcher",Onychorhynchus coronatus,NA,69.5
2013,"Royal Flycatcher",Onychorhynchus coronatus,NA,45
2014,"Royal Flycatcher",Onychorhynchus coronatus,NA,66.5
2015,"Royal Flycatcher",Onychorhynchus coronatus,NA,80.5
2016,"Royal Flycatcher",Onychorhynchus coronatus,NA,61.35
2017,"Royal Flycatcher",Onychorhynchus coronatus,NA,87
2018,"Royal Flycatcher",Onychorhynchus coronatus,NA,89.5
2019,"Royal Flycatcher",Onychorhynchus coronatus,1,62
2010,"Ruddy-tailed Flycatcher",Terenotriccus erythrurus,NA,53
2011,"Ruddy-tailed Flycatcher",Terenotriccus erythrurus,NA,52
2012,"Ruddy-tailed Flycatcher",Terenotriccus erythrurus,NA,69.5
2013,"Ruddy-tailed Flycatcher",Terenotriccus erythrurus,NA,45
2014,"Ruddy-tailed Flycatcher",Terenotriccus erythrurus,1,66.5
2015,"Ruddy-tailed Flycatcher",Terenotriccus erythrurus,NA,80.5
2016,"Ruddy-tailed Flycatcher",Terenotriccus erythrurus,NA,61.35
2017,"Ruddy-tailed Flycatcher",Terenotriccus erythrurus,NA,87
2018,"Ruddy-tailed Flycatcher",Terenotriccus erythrurus,NA,89.5
2019,"Ruddy-tailed Flycatcher",Terenotriccus erythrurus,NA,62
2010,"Sulphur-rumped Flycatcher",Myiobius sulphureipygius,NA,53
2011,"Sulphur-rumped Flycatcher",Myiobius sulphureipygius,NA,52
2012,"Sulphur-rumped Flycatcher",Myiobius sulphureipygius,NA,69.5
2013,"Sulphur-rumped Flycatcher",Myiobius sulphureipygius,2,45
2014,"Sulphur-rumped Flycatcher",Myiobius sulphureipygius,NA,66.5
2015,"Sulphur-rumped Flycatcher",Myiobius sulphureipygius,NA,80.5
2016,"Sulphur-rumped Flycatcher",Myiobius sulphureipygius,NA,61.35
2017,"Sulphur-rumped Flycatcher",Myiobius sulphureipygius,2,87
2018,"Sulphur-rumped Flycatcher",Myiobius sulphureipygius,1,89.5
2019,"Sulphur-rumped Flycatcher",Myiobius sulphureipygius,1,62
2010,"Olive-sided Flycatcher",Contopus cooperi,NA,53
2011,"Olive-sided Flycatcher",Contopus cooperi,NA,52
2012,"Olive-sided Flycatcher",Contopus cooperi,NA,69.5
2013,"Olive-sided Flycatcher",Contopus cooperi,NA,45
2014,"Olive-sided Flycatcher",Contopus cooperi,NA,66.5
2015,"Olive-sided Flycatcher",Contopus cooperi,1,80.5
2016,"Olive-sided Flycatcher",Contopus cooperi,NA,61.35
2017,"Olive-sided Flycatcher",Contopus cooperi,NA,87
2018,"Olive-sided Flycatcher",Contopus cooperi,NA,89.5
2019,"Olive-sided Flycatcher",Contopus cooperi,NA,62
2010,"Western Wood-Pewee",Contopus sordidulus,NA,53
2011,"Western Wood-Pewee",Contopus sordidulus,1,52
2012,"Western Wood-Pewee",Contopus sordidulus,1,69.5
2013,"Western Wood-Pewee",Contopus sordidulus,NA,45
2014,"Western Wood-Pewee",Contopus sordidulus,NA,66.5
2015,"Western Wood-Pewee",Contopus sordidulus,1,80.5
2016,"Western Wood-Pewee",Contopus sordidulus,NA,61.35
2017,"Western Wood-Pewee",Contopus sordidulus,NA,87
2018,"Western Wood-Pewee",Contopus sordidulus,NA,89.5
2019,"Western Wood-Pewee",Contopus sordidulus,NA,62
2010,"Eastern Wood-Pewee",Contopus virens,NA,53
2011,"Eastern Wood-Pewee",Contopus virens,1,52
2012,"Eastern Wood-Pewee",Contopus virens,2,69.5
2013,"Eastern Wood-Pewee",Contopus virens,2,45
2014,"Eastern Wood-Pewee",Contopus virens,NA,66.5
2015,"Eastern Wood-Pewee",Contopus virens,NA,80.5
2016,"Eastern Wood-Pewee",Contopus virens,2,61.35
2017,"Eastern Wood-Pewee",Contopus virens,3,87
2018,"Eastern Wood-Pewee",Contopus virens,2,89.5
2019,"Eastern Wood-Pewee",Contopus virens,NA,62
2010,"Tropical Pewee",Contopus cinereus,3,53
2011,"Tropical Pewee",Contopus cinereus,NA,52
2012,"Tropical Pewee",Contopus cinereus,NA,69.5
2013,"Tropical Pewee",Contopus cinereus,NA,45
2014,"Tropical Pewee",Contopus cinereus,6,66.5
2015,"Tropical Pewee",Contopus cinereus,2,80.5
2016,"Tropical Pewee",Contopus cinereus,NA,61.35
2017,"Tropical Pewee",Contopus cinereus,6,87
2018,"Tropical Pewee",Contopus cinereus,2,89.5
2019,"Tropical Pewee",Contopus cinereus,2,62
2010,"Yellow-bellied Flycatcher",Empidonax flaviventris,NA,53
2011,"Yellow-bellied Flycatcher",Empidonax flaviventris,NA,52
2012,"Yellow-bellied Flycatcher",Empidonax flaviventris,1,69.5
2013,"Yellow-bellied Flycatcher",Empidonax flaviventris,NA,45
2014,"Yellow-bellied Flycatcher",Empidonax flaviventris,2,66.5
2015,"Yellow-bellied Flycatcher",Empidonax flaviventris,NA,80.5
2016,"Yellow-bellied Flycatcher",Empidonax flaviventris,NA,61.35
2017,"Yellow-bellied Flycatcher",Empidonax flaviventris,2,87
2018,"Yellow-bellied Flycatcher",Empidonax flaviventris,1,89.5
2019,"Yellow-bellied Flycatcher",Empidonax flaviventris,NA,62
2010,"Willow Flycatcher",Empidonax traillii,NA,53
2011,"Willow Flycatcher",Empidonax traillii,NA,52
2012,"Willow Flycatcher",Empidonax traillii,NA,69.5
2013,"Willow Flycatcher",Empidonax traillii,NA,45
2014,"Willow Flycatcher",Empidonax traillii,NA,66.5
2015,"Willow Flycatcher",Empidonax traillii,NA,80.5
2016,"Willow Flycatcher",Empidonax traillii,NA,61.35
2017,"Willow Flycatcher",Empidonax traillii,1,87
2018,"Willow Flycatcher",Empidonax traillii,NA,89.5
2019,"Willow Flycatcher",Empidonax traillii,NA,62
2010,"Least Flycatcher",Empidonax minimus,NA,53
2011,"Least Flycatcher",Empidonax minimus,NA,52
2012,"Least Flycatcher",Empidonax minimus,NA,69.5
2013,"Least Flycatcher",Empidonax minimus,NA,45
2014,"Least Flycatcher",Empidonax minimus,NA,66.5
2015,"Least Flycatcher",Empidonax minimus,1,80.5
2016,"Least Flycatcher",Empidonax minimus,NA,61.35
2017,"Least Flycatcher",Empidonax minimus,1,87
2018,"Least Flycatcher",Empidonax minimus,NA,89.5
2019,"Least Flycatcher",Empidonax minimus,NA,62
2010,"Yellowish Flycatcher",Empidonax flavescens,NA,53
2011,"Yellowish Flycatcher",Empidonax flavescens,NA,52
2012,"Yellowish Flycatcher",Empidonax flavescens,NA,69.5
2013,"Yellowish Flycatcher",Empidonax flavescens,NA,45
2014,"Yellowish Flycatcher",Empidonax flavescens,NA,66.5
2015,"Yellowish Flycatcher",Empidonax flavescens,1,80.5
2016,"Yellowish Flycatcher",Empidonax flavescens,NA,61.35
2017,"Yellowish Flycatcher",Empidonax flavescens,1,87
2018,"Yellowish Flycatcher",Empidonax flavescens,NA,89.5
2019,"Yellowish Flycatcher",Empidonax flavescens,NA,62
2010,"Black Phoebe",Sayornis nigricans,NA,53
2011,"Black Phoebe",Sayornis nigricans,NA,52
2012,"Black Phoebe",Sayornis nigricans,NA,69.5
2013,"Black Phoebe",Sayornis nigricans,NA,45
2014,"Black Phoebe",Sayornis nigricans,1,66.5
2015,"Black Phoebe",Sayornis nigricans,NA,80.5
2016,"Black Phoebe",Sayornis nigricans,1,61.35
2017,"Black Phoebe",Sayornis nigricans,1,87
2018,"Black Phoebe",Sayornis nigricans,4,89.5
2019,"Black Phoebe",Sayornis nigricans,NA,62
2010,"Long-tailed Tyrant",Colonia colonus,NA,53
2011,"Long-tailed Tyrant",Colonia colonus,1,52
2012,"Long-tailed Tyrant",Colonia colonus,NA,69.5
2013,"Long-tailed Tyrant",Colonia colonus,NA,45
2014,"Long-tailed Tyrant",Colonia colonus,NA,66.5
2015,"Long-tailed Tyrant",Colonia colonus,NA,80.5
2016,"Long-tailed Tyrant",Colonia colonus,NA,61.35
2017,"Long-tailed Tyrant",Colonia colonus,NA,87
2018,"Long-tailed Tyrant",Colonia colonus,NA,89.5
2019,"Long-tailed Tyrant",Colonia colonus,NA,62
2010,"Bright-rumped Attila",Attila spadiceus,2,53
2011,"Bright-rumped Attila",Attila spadiceus,NA,52
2012,"Bright-rumped Attila",Attila spadiceus,NA,69.5
2013,"Bright-rumped Attila",Attila spadiceus,1,45
2014,"Bright-rumped Attila",Attila spadiceus,2,66.5
2015,"Bright-rumped Attila",Attila spadiceus,1,80.5
2016,"Bright-rumped Attila",Attila spadiceus,NA,61.35
2017,"Bright-rumped Attila",Attila spadiceus,NA,87
2018,"Bright-rumped Attila",Attila spadiceus,8,89.5
2019,"Bright-rumped Attila",Attila spadiceus,2,62
2010,"Rufous Mourner",Rhytipterna holerythra,NA,53
2011,"Rufous Mourner",Rhytipterna holerythra,NA,52
2012,"Rufous Mourner",Rhytipterna holerythra,3,69.5
2013,"Rufous Mourner",Rhytipterna holerythra,NA,45
2014,"Rufous Mourner",Rhytipterna holerythra,1,66.5
2015,"Rufous Mourner",Rhytipterna holerythra,NA,80.5
2016,"Rufous Mourner",Rhytipterna holerythra,NA,61.35
2017,"Rufous Mourner",Rhytipterna holerythra,1,87
2018,"Rufous Mourner",Rhytipterna holerythra,NA,89.5
2019,"Rufous Mourner",Rhytipterna holerythra,4,62
2010,"Dusky-capped Flycatcher",Myiarchus tuberculifer,NA,53
2011,"Dusky-capped Flycatcher",Myiarchus tuberculifer,7,52
2012,"Dusky-capped Flycatcher",Myiarchus tuberculifer,12,69.5
2013,"Dusky-capped Flycatcher",Myiarchus tuberculifer,3,45
2014,"Dusky-capped Flycatcher",Myiarchus tuberculifer,8,66.5
2015,"Dusky-capped Flycatcher",Myiarchus tuberculifer,3,80.5
2016,"Dusky-capped Flycatcher",Myiarchus tuberculifer,1,61.35
2017,"Dusky-capped Flycatcher",Myiarchus tuberculifer,3,87
2018,"Dusky-capped Flycatcher",Myiarchus tuberculifer,5,89.5
2019,"Dusky-capped Flycatcher",Myiarchus tuberculifer,5,62
2010,"Nutting's Flycatcher",Myiarchus nuttingi,3,53
2011,"Nutting's Flycatcher",Myiarchus nuttingi,NA,52
2012,"Nutting's Flycatcher",Myiarchus nuttingi,NA,69.5
2013,"Nutting's Flycatcher",Myiarchus nuttingi,NA,45
2014,"Nutting's Flycatcher",Myiarchus nuttingi,NA,66.5
2015,"Nutting's Flycatcher",Myiarchus nuttingi,NA,80.5
2016,"Nutting's Flycatcher",Myiarchus nuttingi,NA,61.35
2017,"Nutting's Flycatcher",Myiarchus nuttingi,NA,87
2018,"Nutting's Flycatcher",Myiarchus nuttingi,NA,89.5
2019,"Nutting's Flycatcher",Myiarchus nuttingi,NA,62
2010,"Great Crested Flycatcher",Myiarchus crinitus,1,53
2011,"Great Crested Flycatcher",Myiarchus crinitus,1,52
2012,"Great Crested Flycatcher",Myiarchus crinitus,1,69.5
2013,"Great Crested Flycatcher",Myiarchus crinitus,4,45
2014,"Great Crested Flycatcher",Myiarchus crinitus,NA,66.5
2015,"Great Crested Flycatcher",Myiarchus crinitus,NA,80.5
2016,"Great Crested Flycatcher",Myiarchus crinitus,NA,61.35
2017,"Great Crested Flycatcher",Myiarchus crinitus,3,87
2018,"Great Crested Flycatcher",Myiarchus crinitus,NA,89.5
2019,"Great Crested Flycatcher",Myiarchus crinitus,NA,62
2010,"Brown-crested Flycatcher",Myiarchus tyrannulus,4,53
2011,"Brown-crested Flycatcher",Myiarchus tyrannulus,NA,52
2012,"Brown-crested Flycatcher",Myiarchus tyrannulus,NA,69.5
2013,"Brown-crested Flycatcher",Myiarchus tyrannulus,1,45
2014,"Brown-crested Flycatcher",Myiarchus tyrannulus,NA,66.5
2015,"Brown-crested Flycatcher",Myiarchus tyrannulus,3,80.5
2016,"Brown-crested Flycatcher",Myiarchus tyrannulus,NA,61.35
2017,"Brown-crested Flycatcher",Myiarchus tyrannulus,2,87
2018,"Brown-crested Flycatcher",Myiarchus tyrannulus,NA,89.5
2019,"Brown-crested Flycatcher",Myiarchus tyrannulus,NA,62
2010,"Great Kiskadee",Pitangus sulphuratus,8,53
2011,"Great Kiskadee",Pitangus sulphuratus,9,52
2012,"Great Kiskadee",Pitangus sulphuratus,16,69.5
2013,"Great Kiskadee",Pitangus sulphuratus,8,45
2014,"Great Kiskadee",Pitangus sulphuratus,15,66.5
2015,"Great Kiskadee",Pitangus sulphuratus,41,80.5
2016,"Great Kiskadee",Pitangus sulphuratus,4,61.35
2017,"Great Kiskadee",Pitangus sulphuratus,21,87
2018,"Great Kiskadee",Pitangus sulphuratus,16,89.5
2019,"Great Kiskadee",Pitangus sulphuratus,19,62
2010,"Boat-billed Flycatcher",Megarynchus pitangua,2,53
2011,"Boat-billed Flycatcher",Megarynchus pitangua,7,52
2012,"Boat-billed Flycatcher",Megarynchus pitangua,7,69.5
2013,"Boat-billed Flycatcher",Megarynchus pitangua,9,45
2014,"Boat-billed Flycatcher",Megarynchus pitangua,7,66.5
2015,"Boat-billed Flycatcher",Megarynchus pitangua,20,80.5
2016,"Boat-billed Flycatcher",Megarynchus pitangua,5,61.35
2017,"Boat-billed Flycatcher",Megarynchus pitangua,10,87
2018,"Boat-billed Flycatcher",Megarynchus pitangua,16,89.5
2019,"Boat-billed Flycatcher",Megarynchus pitangua,9,62
2010,"Social Flycatcher",Myiozetetes similis,12,53
2011,"Social Flycatcher",Myiozetetes similis,9,52
2012,"Social Flycatcher",Myiozetetes similis,5,69.5
2013,"Social Flycatcher",Myiozetetes similis,9,45
2014,"Social Flycatcher",Myiozetetes similis,5,66.5
2015,"Social Flycatcher",Myiozetetes similis,8,80.5
2016,"Social Flycatcher",Myiozetetes similis,10,61.35
2017,"Social Flycatcher",Myiozetetes similis,6,87
2018,"Social Flycatcher",Myiozetetes similis,21,89.5
2019,"Social Flycatcher",Myiozetetes similis,3,62
2010,"Gray-capped Flycatcher",Myiozetetes granadensis,2,53
2011,"Gray-capped Flycatcher",Myiozetetes granadensis,2,52
2012,"Gray-capped Flycatcher",Myiozetetes granadensis,3,69.5
2013,"Gray-capped Flycatcher",Myiozetetes granadensis,4,45
2014,"Gray-capped Flycatcher",Myiozetetes granadensis,14,66.5
2015,"Gray-capped Flycatcher",Myiozetetes granadensis,14,80.5
2016,"Gray-capped Flycatcher",Myiozetetes granadensis,2,61.35
2017,"Gray-capped Flycatcher",Myiozetetes granadensis,9,87
2018,"Gray-capped Flycatcher",Myiozetetes granadensis,5,89.5
2019,"Gray-capped Flycatcher",Myiozetetes granadensis,5,62
2010,"White-ringed Flycatcher",Conopias albovittatus,1,53
2011,"White-ringed Flycatcher",Conopias albovittatus,NA,52
2012,"White-ringed Flycatcher",Conopias albovittatus,NA,69.5
2013,"White-ringed Flycatcher",Conopias albovittatus,3,45
2014,"White-ringed Flycatcher",Conopias albovittatus,5,66.5
2015,"White-ringed Flycatcher",Conopias albovittatus,2,80.5
2016,"White-ringed Flycatcher",Conopias albovittatus,1,61.35
2017,"White-ringed Flycatcher",Conopias albovittatus,2,87
2018,"White-ringed Flycatcher",Conopias albovittatus,2,89.5
2019,"White-ringed Flycatcher",Conopias albovittatus,NA,62
2010,"Streaked Flycatcher",Myiodynastes maculatus,NA,53
2011,"Streaked Flycatcher",Myiodynastes maculatus,NA,52
2012,"Streaked Flycatcher",Myiodynastes maculatus,NA,69.5
2013,"Streaked Flycatcher",Myiodynastes maculatus,NA,45
2014,"Streaked Flycatcher",Myiodynastes maculatus,NA,66.5
2015,"Streaked Flycatcher",Myiodynastes maculatus,NA,80.5
2016,"Streaked Flycatcher",Myiodynastes maculatus,NA,61.35
2017,"Streaked Flycatcher",Myiodynastes maculatus,NA,87
2018,"Streaked Flycatcher",Myiodynastes maculatus,NA,89.5
2019,"Streaked Flycatcher",Myiodynastes maculatus,1,62
2010,"Sulphur-bellied Flycatcher",Myiodynastes luteiventris,1,53
2011,"Sulphur-bellied Flycatcher",Myiodynastes luteiventris,NA,52
2012,"Sulphur-bellied Flycatcher",Myiodynastes luteiventris,NA,69.5
2013,"Sulphur-bellied Flycatcher",Myiodynastes luteiventris,NA,45
2014,"Sulphur-bellied Flycatcher",Myiodynastes luteiventris,NA,66.5
2015,"Sulphur-bellied Flycatcher",Myiodynastes luteiventris,NA,80.5
2016,"Sulphur-bellied Flycatcher",Myiodynastes luteiventris,NA,61.35
2017,"Sulphur-bellied Flycatcher",Myiodynastes luteiventris,1,87
2018,"Sulphur-bellied Flycatcher",Myiodynastes luteiventris,NA,89.5
2019,"Sulphur-bellied Flycatcher",Myiodynastes luteiventris,NA,62
2010,"Tropical Kingbird",Tyrannus melancholicus,36,53
2011,"Tropical Kingbird",Tyrannus melancholicus,28,52
2012,"Tropical Kingbird",Tyrannus melancholicus,34,69.5
2013,"Tropical Kingbird",Tyrannus melancholicus,28,45
2014,"Tropical Kingbird",Tyrannus melancholicus,35,66.5
2015,"Tropical Kingbird",Tyrannus melancholicus,32,80.5
2016,"Tropical Kingbird",Tyrannus melancholicus,28,61.35
2017,"Tropical Kingbird",Tyrannus melancholicus,47,87
2018,"Tropical Kingbird",Tyrannus melancholicus,41,89.5
2019,"Tropical Kingbird",Tyrannus melancholicus,63,62
2010,"Western Kingbird",Tyrannus verticalis,NA,53
2011,"Western Kingbird",Tyrannus verticalis,NA,52
2012,"Western Kingbird",Tyrannus verticalis,NA,69.5
2013,"Western Kingbird",Tyrannus verticalis,NA,45
2014,"Western Kingbird",Tyrannus verticalis,NA,66.5
2015,"Western Kingbird",Tyrannus verticalis,1,80.5
2016,"Western Kingbird",Tyrannus verticalis,NA,61.35
2017,"Western Kingbird",Tyrannus verticalis,NA,87
2018,"Western Kingbird",Tyrannus verticalis,NA,89.5
2019,"Western Kingbird",Tyrannus verticalis,NA,62
2010,"Scissor-tailed Flycatcher",Tyrannus forficatus,1,53
2011,"Scissor-tailed Flycatcher",Tyrannus forficatus,NA,52
2012,"Scissor-tailed Flycatcher",Tyrannus forficatus,1,69.5
2013,"Scissor-tailed Flycatcher",Tyrannus forficatus,8,45
2014,"Scissor-tailed Flycatcher",Tyrannus forficatus,NA,66.5
2015,"Scissor-tailed Flycatcher",Tyrannus forficatus,1,80.5
2016,"Scissor-tailed Flycatcher",Tyrannus forficatus,NA,61.35
2017,"Scissor-tailed Flycatcher",Tyrannus forficatus,NA,87
2018,"Scissor-tailed Flycatcher",Tyrannus forficatus,NA,89.5
2019,"Scissor-tailed Flycatcher",Tyrannus forficatus,NA,62
2010,"Bare-necked Umbrellabird",Cephalopterus glabricollis,1,53
2011,"Bare-necked Umbrellabird",Cephalopterus glabricollis,NA,52
2012,"Bare-necked Umbrellabird",Cephalopterus glabricollis,NA,69.5
2013,"Bare-necked Umbrellabird",Cephalopterus glabricollis,NA,45
2014,"Bare-necked Umbrellabird",Cephalopterus glabricollis,NA,66.5
2015,"Bare-necked Umbrellabird",Cephalopterus glabricollis,NA,80.5
2016,"Bare-necked Umbrellabird",Cephalopterus glabricollis,NA,61.35
2017,"Bare-necked Umbrellabird",Cephalopterus glabricollis,NA,87
2018,"Bare-necked Umbrellabird",Cephalopterus glabricollis,NA,89.5
2019,"Bare-necked Umbrellabird",Cephalopterus glabricollis,1,62
2010,"Rufous Piha",Lipaugus unirufus,NA,53
2011,"Rufous Piha",Lipaugus unirufus,NA,52
2012,"Rufous Piha",Lipaugus unirufus,NA,69.5
2013,"Rufous Piha",Lipaugus unirufus,NA,45
2014,"Rufous Piha",Lipaugus unirufus,NA,66.5
2015,"Rufous Piha",Lipaugus unirufus,NA,80.5
2016,"Rufous Piha",Lipaugus unirufus,NA,61.35
2017,"Rufous Piha",Lipaugus unirufus,NA,87
2018,"Rufous Piha",Lipaugus unirufus,1,89.5
2019,"Rufous Piha",Lipaugus unirufus,1,62
2010,"Snowy Cotinga",Carpodectes nitidus,1,53
2011,"Snowy Cotinga",Carpodectes nitidus,1,52
2012,"Snowy Cotinga",Carpodectes nitidus,NA,69.5
2013,"Snowy Cotinga",Carpodectes nitidus,1,45
2014,"Snowy Cotinga",Carpodectes nitidus,NA,66.5
2015,"Snowy Cotinga",Carpodectes nitidus,NA,80.5
2016,"Snowy Cotinga",Carpodectes nitidus,NA,61.35
2017,"Snowy Cotinga",Carpodectes nitidus,NA,87
2018,"Snowy Cotinga",Carpodectes nitidus,1,89.5
2019,"Snowy Cotinga",Carpodectes nitidus,NA,62
2010,"Long-tailed Manakin",Chiroxiphia linearis,6,53
2011,"Long-tailed Manakin",Chiroxiphia linearis,2,52
2012,"Long-tailed Manakin",Chiroxiphia linearis,9,69.5
2013,"Long-tailed Manakin",Chiroxiphia linearis,5,45
2014,"Long-tailed Manakin",Chiroxiphia linearis,2,66.5
2015,"Long-tailed Manakin",Chiroxiphia linearis,1,80.5
2016,"Long-tailed Manakin",Chiroxiphia linearis,2,61.35
2017,"Long-tailed Manakin",Chiroxiphia linearis,1,87
2018,"Long-tailed Manakin",Chiroxiphia linearis,12,89.5
2019,"Long-tailed Manakin",Chiroxiphia linearis,13,62
2010,"White-ruffed Manakin",Corapipo altera,3,53
2011,"White-ruffed Manakin",Corapipo altera,5,52
2012,"White-ruffed Manakin",Corapipo altera,4,69.5
2013,"White-ruffed Manakin",Corapipo altera,2,45
2014,"White-ruffed Manakin",Corapipo altera,4,66.5
2015,"White-ruffed Manakin",Corapipo altera,1,80.5
2016,"White-ruffed Manakin",Corapipo altera,6,61.35
2017,"White-ruffed Manakin",Corapipo altera,10,87
2018,"White-ruffed Manakin",Corapipo altera,3,89.5
2019,"White-ruffed Manakin",Corapipo altera,3,62
2010,"White-collared Manakin",Manacus candei,14,53
2011,"White-collared Manakin",Manacus candei,3,52
2012,"White-collared Manakin",Manacus candei,7,69.5
2013,"White-collared Manakin",Manacus candei,13,45
2014,"White-collared Manakin",Manacus candei,13,66.5
2015,"White-collared Manakin",Manacus candei,11,80.5
2016,"White-collared Manakin",Manacus candei,19,61.35
2017,"White-collared Manakin",Manacus candei,11,87
2018,"White-collared Manakin",Manacus candei,17,89.5
2019,"White-collared Manakin",Manacus candei,9,62
2010,"Red-capped Manakin",Ceratopipra mentalis,7,53
2011,"Red-capped Manakin",Ceratopipra mentalis,2,52
2012,"Red-capped Manakin",Ceratopipra mentalis,3,69.5
2013,"Red-capped Manakin",Ceratopipra mentalis,4,45
2014,"Red-capped Manakin",Ceratopipra mentalis,1,66.5
2015,"Red-capped Manakin",Ceratopipra mentalis,NA,80.5
2016,"Red-capped Manakin",Ceratopipra mentalis,2,61.35
2017,"Red-capped Manakin",Ceratopipra mentalis,4,87
2018,"Red-capped Manakin",Ceratopipra mentalis,2,89.5
2019,"Red-capped Manakin",Ceratopipra mentalis,1,62
2010,"Black-crowned Tityra",Tityra inquisitor,NA,53
2011,"Black-crowned Tityra",Tityra inquisitor,1,52
